Vectorization,Model,Accuracy,Precision,Recall,F1,AUC
TF-IDF,LogisticRegression,0.7637362637362637,0.7698863636363636,0.6691358024691358,0.7159841479524438,0.8416574990832417
TF-IDF,LinearSVC,0.7648351648351648,0.7736389684813754,0.6666666666666666,0.7161803713527851,0.8420975430876421
TF-IDF,SVC_rbf,0.6472527472527473,0.6438356164383562,0.4641975308641975,0.539454806312769,0.7091358024691357
TF-IDF,DecisionTree,0.721978021978022,0.8275862068965517,0.4740740740740741,0.6028257456828885,0.722090209020902
TF-IDF,RandomForest,0.721978021978022,0.8392857142857143,0.4641975308641975,0.5977742448330684,0.8058281383693925
TF-IDF,GradientBoosting,0.7747252747252747,0.8355704697986577,0.6148148148148148,0.7083926031294452,0.8305830583058306
TF-IDF,AdaBoost,0.6989010989010989,0.8579234972677595,0.38765432098765434,0.5340136054421769,0.7278058917002811
TF-IDF,MultinomialNB,0.7307692307692307,0.7222222222222222,0.6419753086419753,0.6797385620915033,0.798943894389439
TF-IDF,ComplementNB,0.7296703296703296,0.6897374701670644,0.7135802469135802,0.7014563106796117,0.798943894389439
TF-IDF,BernoulliNB,0.7153846153846154,0.6972972972972973,0.6370370370370371,0.6658064516129032,0.7882214888155483
TF-IDF,KNN,0.5703296703296703,0.5176767676767676,0.5061728395061729,0.5118601747815231,0.594663244102188
TF-IDF,VotingHard,0.7549450549450549,0.8527131782945736,0.5432098765432098,0.6636500754147813,
TF-IDF,VotingSoft,0.7648351648351648,0.8350877192982457,0.5876543209876544,0.6898550724637681,0.8429434054516562
TF-IDF,Stacking,0.7846153846153846,0.7894736842105263,0.7037037037037037,0.7441253263707572,0.8491382471580491
TF-IDF,Bagging_DT,0.7428571428571429,0.8518518518518519,0.5111111111111111,0.6388888888888888,0.8041657499083241
TF-IDF,Bagging_LR,0.7648351648351648,0.7705382436260623,0.671604938271605,0.7176781002638523,0.8388656643442122
BoW,LogisticRegression,0.7538461538461538,0.7400530503978779,0.6888888888888889,0.7135549872122762,0.8294682801613494
BoW,LinearSVC,0.7582417582417582,0.7427821522309711,0.6987654320987654,0.7201017811704835,0.8266617772888399
BoW,SVC_rbf,0.734065934065934,0.7672131147540984,0.5777777777777777,0.6591549295774648,0.8123603471458257
BoW,DecisionTree,0.7054945054945055,0.8127853881278538,0.43950617283950616,0.5705128205128205,0.7032636596993032
BoW,RandomForest,0.7307692307692307,0.8571428571428571,0.4740740740740741,0.6104928457869634,0.8107566312186774
BoW,GradientBoosting,0.7747252747252747,0.8333333333333334,0.6172839506172839,0.7092198581560284,0.8333773377337734
BoW,AdaBoost,0.7,0.8548387096774194,0.3925925925925926,0.5380710659898477,0.7265468769099133
BoW,MultinomialNB,0.7263736263736263,0.6893203883495146,0.7012345679012346,0.6952264381884945,0.7795281750397263
BoW,ComplementNB,0.7197802197802198,0.676056338028169,0.7111111111111111,0.6931407942238267,0.7795281750397263
BoW,BernoulliNB,0.7153846153846154,0.6972972972972973,0.6370370370370371,0.6658064516129032,0.7882214888155483
BoW,KNN,0.6274725274725275,0.6064516129032258,0.4641975308641975,0.5258741258741259,0.667659210365481
BoW,VotingHard,0.7615384615384615,0.8533834586466166,0.5604938271604938,0.676602086438152,
BoW,VotingSoft,0.7637362637362637,0.7932098765432098,0.6345679012345679,0.7050754458161865,0.8493973841828627
BoW,Stacking,0.7736263736263737,0.780281690140845,0.6839506172839506,0.7289473684210527,0.8481750397261948
BoW,Bagging_DT,0.7296703296703296,0.8218623481781376,0.5012345679012346,0.6226993865030674,0.8155213299107689
BoW,Bagging_LR,0.7670329670329671,0.7673130193905817,0.6839506172839506,0.7232375979112271,0.8415157071262681
