Vectorization,Model,Accuracy,Precision,Recall,F1,AUC
TF-IDF,LogisticRegression,0.7725274725274726,0.7844827586206896,0.674074074074074,0.7250996015936255,0.8432807725216966
TF-IDF,LinearSVC,0.7736263736263737,0.7900874635568513,0.6691358024691358,0.7245989304812834,0.8442782055983375
TF-IDF,SVC_rbf,0.6472527472527473,0.6544117647058824,0.43950617283950616,0.5258493353028065,0.7034372326121502
TF-IDF,DecisionTree,0.7087912087912088,0.7966101694915254,0.4641975308641975,0.5865834633385335,0.6846106832905513
TF-IDF,RandomForest,0.7164835164835165,0.8620689655172413,0.43209876543209874,0.5756578947368421,0.7950079452389684
TF-IDF,GradientBoosting,0.7736263736263737,0.8372881355932204,0.6098765432098765,0.7057142857142857,0.8300525608116367
TF-IDF,AdaBoost,0.6945054945054945,0.850828729281768,0.3802469135802469,0.5255972696245734,0.7223322332233223
TF-IDF,MultinomialNB,0.7285714285714285,0.7244318181818182,0.6296296296296297,0.6737120211360634,0.8149370492604816
TF-IDF,ComplementNB,0.7296703296703296,0.6924939467312349,0.7061728395061728,0.6992665036674817,0.8149370492604816
TF-IDF,BernoulliNB,0.7373626373626374,0.7106598984771574,0.691358024691358,0.7008760951188986,0.8147268060139348
TF-IDF,KNN,0.5659340659340659,0.5130208333333334,0.48641975308641977,0.49936628643852976,0.5943674367436744
TF-IDF,VotingHard,0.7461538461538462,0.84251968503937,0.528395061728395,0.6494688922610015,
TF-IDF,VotingSoft,0.7593406593406593,0.8345323741007195,0.5728395061728395,0.6793557833089312,0.8416770565945483
TF-IDF,Stacking,0.7824175824175824,0.7867036011080333,0.7012345679012346,0.741514360313316,0.851162449578291
TF-IDF,Bagging_DT,0.7329670329670329,0.8319672131147541,0.5012345679012346,0.6255778120184899,0.8049920547610316
TF-IDF,Bagging_LR,0.7703296703296704,0.7848837209302325,0.6666666666666666,0.7209612817089452,0.8406796235179073
BoW,LogisticRegression,0.7714285714285715,0.7626666666666667,0.7061728395061728,0.7333333333333333,0.8329984109522064
BoW,LinearSVC,0.7604395604395604,0.7493333333333333,0.6938271604938272,0.7205128205128205,0.8306612883510572
BoW,SVC_rbf,0.7362637362637363,0.7894736842105263,0.5555555555555556,0.6521739130434783,0.8162033981175896
BoW,DecisionTree,0.7131868131868132,0.8103448275862069,0.4641975308641975,0.5902668759811617,0.7219288595526219
BoW,RandomForest,0.7263736263736263,0.875,0.44938271604938274,0.5938009787928222,0.8078376726561545
BoW,GradientBoosting,0.7747252747252747,0.8355704697986577,0.6148148148148148,0.7083926031294452,0.8360787189830095
BoW,AdaBoost,0.6945054945054945,0.8469945355191257,0.38271604938271603,0.5272108843537415,0.7239408385282972
BoW,MultinomialNB,0.7285714285714285,0.6872037914691943,0.7160493827160493,0.7013301088270859,0.8030314142525363
BoW,ComplementNB,0.7296703296703296,0.6844547563805105,0.7283950617283951,0.7057416267942583,0.8030314142525363
BoW,BernoulliNB,0.7373626373626374,0.7106598984771574,0.691358024691358,0.7008760951188986,0.8147268060139348
BoW,KNN,0.5835164835164836,0.5326633165829145,0.5234567901234568,0.5280199252801993,0.6148783767265615
BoW,VotingHard,0.7505494505494505,0.8503937007874016,0.5333333333333333,0.6555386949924128,
BoW,VotingSoft,0.7714285714285715,0.8087774294670846,0.6370370370370371,0.712707182320442,0.850477936682557
BoW,Stacking,0.7813186813186813,0.7877094972067039,0.6962962962962963,0.7391874180865007,0.8505952817503972
BoW,Bagging_DT,0.7329670329670329,0.824,0.508641975308642,0.6290076335877862,0.8052438577191052
BoW,Bagging_LR,0.7813186813186813,0.7845303867403315,0.7012345679012346,0.7405475880052151,0.844674245202298
