feature,mean_YES,mean_NO,n_YES,n_NO,U_stat,p_value,effect_r,effect_label,p_adj_BH,significant,modality
reaction_time,17456.08911594737,15863.988641302556,1900,1213,1319782.0,7.573964720557025e-12,-0.14529613398706998,small,1.817751532933686e-10,True,ET
fixations_count,49.72733863157895,46.9727986809563,1900,1213,1255150.5,2.62440527494308e-05,-0.08920944157591015,small,0.0002099524219954464,True,ET
saccades_count,49.21613157894736,46.46084765045342,1900,1213,1255945.0,2.2721328734532588e-05,-0.08989890224324215,small,0.0002099524219954464,True,ET
fixations_duration_mean_ns,284107544.187151,272874226.5843344,1900,1213,1244087.5,0.0001759997502180556,-0.07960905974747257,small,0.0010559985013083337,True,ET
blinks_duration_min_ns,241378992.31811312,249355660.00036263,1900,1213,1065940.0,0.00041025025930371654,0.0749858983815681,small,0.0019692012446578394,True,ET
fixations_duration_std_ns,237472326.67445594,222015701.49152285,1900,1213,1233113.0,0.0009585029281982491,-0.07008547750249483,small,0.0038340117127929965,True,ET
blinks_duration_mean_ns,258567277.15059063,265116528.7800331,1900,1213,1076729.5,0.001987077678423568,0.06562285763873821,small,0.00681283775459509,True,ET
fixations_duration_max_ns,1333943141.001718,1272682517.799791,1900,1213,1221357.0,0.004776661365561118,-0.0598837158849308,small,0.014329984096683353,True,ET
blinks_count,2.298707842105263,2.1543401483924156,1900,1213,1210517.5,0.012859504337595567,-0.050477285546925765,small,0.034292011566921514,True,ET
blinks_duration_max_ns,277605966.6617149,282920902.3557929,1900,1213,1096718.5,0.02291677091611627,0.04827656527964597,small,0.055000250198679046,False,ET
blinks_duration_std_ns,15231878.289089633,14296233.1000986,1900,1213,1201079.5,0.038301605774392025,-0.04228706556167827,small,0.08356713987140078,False,ET
3d_eye_states_pupil diameter right [mm]_min,1.820789052631579,1.7973551525144267,1900,1213,1197255.5,0.06632879677643266,-0.03896862932268852,small,0.13265759355286533,False,ET
fixations_duration_min_ns,91813005.25314242,92413127.3539807,1900,1213,1111259.5,0.09288020407204993,0.035658003210830014,small,0.1714711459791691,False,ET
saccades_duration_min_ns,58779849.59685663,121239495.93726993,1900,1213,1115400.0,0.12973694886490847,0.0320649108343819,small,0.22240619805412878,False,ET
saccades_duration_mean_ns,217387450.11083013,301656433.0232997,1900,1213,1116606.0,0.14385762769174534,0.031018353798759057,small,0.23017220430679255,False,ET
saccades_duration_max_ns,697035965.8346953,767339549.3641614,1900,1213,1183512.5,0.20257807780723258,-0.02704256519286674,small,0.3038671167108489,False,ET
3d_eye_states_pupil diameter right [mm]_max,3.6406461578947367,3.6207450123660347,1900,1213,1174746.5,0.3597784870668508,-0.01943550136677219,small,0.5079225699767305,False,ET
3d_eye_states_pupil diameter right [mm]_std,0.18315826315789474,0.1874260511129431,1900,1213,1137306.5,0.5384765287325289,0.013054627500325378,small,0.680180878398984,False,ET
saccades_duration_std_ns,174715304.42376518,192324949.2920499,1900,1213,1167463.0,0.536601643096403,-0.013114939037618845,small,0.680180878398984,False,ET
3d_eye_states_pupil diameter left [mm]_max,3.6126229999999997,3.5971042044517727,1900,1213,1165219.0,0.5987482231595057,-0.011167614006161397,small,0.7184978677914068,False,ET
3d_eye_states_pupil diameter right [mm]_mean,3.100481684210526,3.091130832646331,1900,1213,1161215.0,0.7169968976986572,-0.007692975224541154,small,0.8194250259413225,False,ET
3d_eye_states_pupil diameter left [mm]_std,0.16219899999999998,0.1622482275350371,1900,1213,1159376.5,0.7738842134945942,-0.006097539809953645,small,0.8442373238122847,False,ET
3d_eye_states_pupil diameter left [mm]_mean,3.106277421052632,3.1026854905193733,1900,1213,1150730.0,0.9472007408012872,0.001405822883672525,small,0.9731701505104542,False,ET
3d_eye_states_pupil diameter left [mm]_min,1.9501383684210527,1.9404877988458369,1900,1213,1153173.0,0.9731701505104542,-0.0007141927365816869,small,0.9731701505104542,False,ET
garmin_hr_std,1.4480055941941337,1.3824233632286995,3307,2230,3880508.5,0.0009270041534017177,-0.05239694031277575,small,0.003708016613606871,True,HR
garmin_hr_min,67.07285306924705,67.72298834080719,3307,2230,3577666.0,0.0600978154861684,0.02973418255338245,small,0.1201956309723368,False,HR
garmin_hr_mean,69.23329975808889,69.7423640807175,3307,2230,3606904.5,0.16815269464080818,0.021804678484692697,small,0.2242035928544109,False,HR
garmin_hr_max,71.42296271545207,71.79485735426009,3307,2230,3636202.5,0.38089565441194273,0.013859037969465526,small,0.38089565441194273,False,HR
EXG_Channel_9_Alpha_power,0.09358466502765825,0.14176003666361137,3254,2182,3378904.0,0.0025395232511266864,0.04822662032824865,small,0.2031618600901349,False,EEG
