et__3d_eye_states_pupil diameter left [mm]_mean,et__3d_eye_states_pupil diameter left [mm]_std,et__3d_eye_states_pupil diameter left [mm]_max,et__3d_eye_states_pupil diameter left [mm]_min,et__3d_eye_states_pupil diameter right [mm]_mean,et__3d_eye_states_pupil diameter right [mm]_std,et__3d_eye_states_pupil diameter right [mm]_max,et__3d_eye_states_pupil diameter right [mm]_min,et__blinks_duration_mean_ns,et__blinks_duration_std_ns,et__blinks_duration_max_ns,et__blinks_duration_min_ns,et__blinks_count,et__fixations_duration_mean_ns,et__fixations_duration_std_ns,et__fixations_duration_max_ns,et__fixations_duration_min_ns,et__fixations_count,et__saccades_duration_mean_ns,et__saccades_duration_std_ns,et__saccades_duration_max_ns,et__saccades_duration_min_ns,et__saccades_count,et__reaction_time,hr__garmin_hr_mean,hr__garmin_hr_std,hr__garmin_hr_max,hr__garmin_hr_min,eeg__EXG_Channel_0_Delta_power,eeg__EXG_Channel_0_Theta_power,eeg__EXG_Channel_0_Alpha_power,eeg__EXG_Channel_0_Beta_power,eeg__EXG_Channel_0_Gamma_power,eeg__EXG_Channel_1_Delta_power,eeg__EXG_Channel_1_Theta_power,eeg__EXG_Channel_1_Alpha_power,eeg__EXG_Channel_1_Beta_power,eeg__EXG_Channel_1_Gamma_power,eeg__EXG_Channel_2_Delta_power,eeg__EXG_Channel_2_Theta_power,eeg__EXG_Channel_2_Alpha_power,eeg__EXG_Channel_2_Beta_power,eeg__EXG_Channel_2_Gamma_power,eeg__EXG_Channel_3_Delta_power,eeg__EXG_Channel_3_Theta_power,eeg__EXG_Channel_3_Alpha_power,eeg__EXG_Channel_3_Beta_power,eeg__EXG_Channel_3_Gamma_power,eeg__EXG_Channel_4_Delta_power,eeg__EXG_Channel_4_Theta_power,eeg__EXG_Channel_4_Alpha_power,eeg__EXG_Channel_4_Beta_power,eeg__EXG_Channel_4_Gamma_power,eeg__EXG_Channel_5_Delta_power,eeg__EXG_Channel_5_Theta_power,eeg__EXG_Channel_5_Alpha_power,eeg__EXG_Channel_5_Beta_power,eeg__EXG_Channel_5_Gamma_power,eeg__EXG_Channel_6_Delta_power,eeg__EXG_Channel_6_Theta_power,eeg__EXG_Channel_6_Alpha_power,eeg__EXG_Channel_6_Beta_power,eeg__EXG_Channel_6_Gamma_power,eeg__EXG_Channel_7_Delta_power,eeg__EXG_Channel_7_Theta_power,eeg__EXG_Channel_7_Alpha_power,eeg__EXG_Channel_7_Beta_power,eeg__EXG_Channel_7_Gamma_power,eeg__EXG_Channel_8_Delta_power,eeg__EXG_Channel_8_Theta_power,eeg__EXG_Channel_8_Alpha_power,eeg__EXG_Channel_8_Beta_power,eeg__EXG_Channel_8_Gamma_power,eeg__EXG_Channel_9_Delta_power,eeg__EXG_Channel_9_Theta_power,eeg__EXG_Channel_9_Alpha_power,eeg__EXG_Channel_9_Beta_power,eeg__EXG_Channel_9_Gamma_power,eeg__EXG_Channel_10_Delta_power,eeg__EXG_Channel_10_Theta_power,eeg__EXG_Channel_10_Alpha_power,eeg__EXG_Channel_10_Beta_power,eeg__EXG_Channel_10_Gamma_power,eeg__EXG_Channel_11_Delta_power,eeg__EXG_Channel_11_Theta_power,eeg__EXG_Channel_11_Alpha_power,eeg__EXG_Channel_11_Beta_power,eeg__EXG_Channel_11_Gamma_power,eeg__EXG_Channel_12_Delta_power,eeg__EXG_Channel_12_Theta_power,eeg__EXG_Channel_12_Alpha_power,eeg__EXG_Channel_12_Beta_power,eeg__EXG_Channel_12_Gamma_power,eeg__EXG_Channel_13_Delta_power,eeg__EXG_Channel_13_Theta_power,eeg__EXG_Channel_13_Alpha_power,eeg__EXG_Channel_13_Beta_power,eeg__EXG_Channel_13_Gamma_power,eeg__EXG_Channel_14_Delta_power,eeg__EXG_Channel_14_Theta_power,eeg__EXG_Channel_14_Alpha_power,eeg__EXG_Channel_14_Beta_power,eeg__EXG_Channel_14_Gamma_power,eeg__EXG_Channel_15_Delta_power,eeg__EXG_Channel_15_Theta_power,eeg__EXG_Channel_15_Alpha_power,eeg__EXG_Channel_15_Beta_power,eeg__EXG_Channel_15_Gamma_power,sample_id
3.40555,0.18395,3.8975,2.4471499999999997,3.27855,0.2076,3.8144,2.2975,252358966.8849,31580071.886,308805733.7537,210309798.9449,3.8682,399434052.5339,312508702.56345,1518458537.5342999,124157497.99790001,44.10595,13368009630.303,223805340.7721,13998686380.71825,13182840152.16045,43.0831,12.2415,63.23505,0.9351499999999999,64.5,62.0,0.20900000000000002,0.040249999999999994,0.0042,0.00845,0.00115,0.65125,0.061399999999999996,0.0072499999999999995,0.008150000000000001,0.0008500000000000001,2.3231499999999996,0.10930000000000001,0.01565,0.0264,0.0026,0.87295,0.08915,0.00365,0.013850000000000001,0.0006000000000000001,2.59265,0.09985,0.0149,0.0461,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,4.17625,0.0754,0.01165,0.0319,0.00035,2.07865,0.09280000000000001,0.012150000000000001,0.02555,0.0007,6.73885,0.27605,0.049049999999999996,0.02635,0.00155,0.24065,0.0261,0.0024,0.0047,0.0005,0.12165000000000001,0.0269,0.0030499999999999998,0.00855,0.0015999999999999999,0.10844999999999999,0.0305,0.00455,0.0136,0.0021,0.0559,0.0176,0.0014,0.008,0.0014,0.0,0.0,0.0,0.0,0.0,1.16695,0.0418,0.00715,0.01585,0.00025,0.10815,0.00535,0.00275,0.0084,0.00035,120001
3.35565,0.24,3.8896499999999996,1.9173,3.31955,0.28825,3.87775,1.6265,255277777.7778,29732251.646250002,290000000.0,200000000.0,7.0,291397872.34045,191422511.68135,1033500000.0,80000000.0,48.5,87359965.26269999,82854989.0732,320000000.0,15000000.0,48.0,14.126,67.8561,1.57925,70.0,65.0,18.6238,0.38444999999999996,0.0302,0.0219,0.0042,18.6863,0.38645,0.03095,0.02325,0.00515,0.0,0.0,0.0,0.0,0.0,18.3157,0.2566,0.0103,0.00775,0.00035,24.6491,0.30960000000000004,0.01675,0.0411,0.0034000000000000002,0.09555,0.02285,0.0058,0.01085,0.0026,0.1615,0.0258,0.00725,0.01415,0.00265,18.4477,0.28425,0.0279,0.041800000000000004,0.0024000000000000002,19.1911,0.2847,0.01635,0.013850000000000001,0.00335,0.42895,0.033,0.01065,0.01135,0.003,18.281399999999998,0.26955,0.021400000000000002,0.0185,0.00405,19.183899999999998,0.3059,0.02345,0.02305,0.00485,0.155,0.01255,0.006,0.01915,0.0027,64.03395,0.3846,0.03485,0.0389,0.0026,20.516750000000002,0.3317,0.019299999999999998,0.03385,0.00115,18.3173,0.26255,0.01635,0.01715,0.0034500000000000004,120002
2.9424,0.1748,3.3815999999999997,1.9305500000000002,2.75155,0.21200000000000002,3.276,1.65775,258750000.0,23071040.3685,287500000.0,227500000.0,3.0,328125000.0,287889813.83100003,1528500000.0,80000000.0,27.0,106144396.5517,135270332.8292,635500000.0,15000000.0,26.5,7.4465,64.4702,0.4991,65.0,64.0,0.15885,0.0239,0.0037,0.004200000000000001,0.00105,0.19194999999999998,0.033549999999999996,0.00605,0.010700000000000001,0.00255,0.7798499999999999,0.026299999999999997,0.01215,0.041600000000000005,0.004399999999999999,0.14,0.0295,0.0022,0.00845,0.0001,0.9819,0.08174999999999999,0.01575,0.026799999999999997,0.00065,0.01685,0.0033,0.00075,0.0016,0.0002,0.01905,0.0052,0.00165,0.0024,0.0003,0.2684,0.0501,0.013250000000000001,0.0262,0.0007,0.08940000000000001,0.013649999999999999,0.00345,0.00485,0.00065,0.10035,0.0083,0.002,0.00325,0.00035,0.077,0.012150000000000001,0.00335,0.01085,0.00175,0.1105,0.0211,0.00505,0.0132,0.00255,0.8746,0.00395,0.0018,0.03345,0.0005,1.44215,0.11725000000000001,0.0346,0.0432,0.0046,0.17875,0.011949999999999999,0.004,0.0142,0.00045,0.3182,0.0185,0.0052,0.012899999999999998,0.0007,120003
3.282,0.16525,3.6902999999999997,1.9182000000000001,3.21715,0.2061,3.71695,1.68395,235833333.33335,42314239.7,310000000.0,190000000.0,4.0,344343750.0,277992554.87645,1599000000.0,107500000.0,38.0,62830969.26715,50519416.00255,247500000.0,15000000.0,37.0,11.3935,63.7625,1.47825,66.5,62.0,0.37095,0.07050000000000001,0.00975,0.007000000000000001,0.00165,0.48700000000000004,0.09735,0.014,0.00825,0.00155,0.0564,0.0129,0.0044,0.00565,0.00025,0.174,0.03205,0.00245,0.00225,0.00015,0.0814,0.0232,0.0066,0.012799999999999999,0.00135,0.05015,0.0078,0.00375,0.0035,0.00085,0.08,0.0044,0.00425,0.0077,0.0008,0.3243,0.025949999999999997,0.00595,0.025500000000000002,0.0014,0.0755,0.028399999999999998,0.00405,0.00655,0.0009,0.29075,0.05215,0.007549999999999999,0.00715,0.0012,0.0645,0.02655,0.0062,0.0072499999999999995,0.00135,0.12145,0.03685,0.005849999999999999,0.00695,0.00135,0.13525,0.12235,0.10785,0.1645,0.041749999999999995,3.50575,0.0737,0.0424,0.11655,0.1197,0.01695,0.004,0.0021,0.00375,0.001,0.0544,0.0063,0.00265,0.00345,0.0008,120004
3.3828,0.2212,3.92875,1.7903,3.3081,0.24675000000000002,3.89525,1.68335,242429482.86235,17040036.02865,271902866.7256,220154898.8619,4.8682,388896791.94405,303814344.86370003,1550958527.7738,89157497.87505001,47.10595,13373722303.1418,233444146.4027,14041186142.4409,13177839924.08355,46.0831,13.639,62.62965,1.41195,65.5,61.0,73.55210000000001,19.956200000000003,1.5629499999999998,2.38485,0.1527,7.8908,1.2079499999999999,0.35364999999999996,0.1881,0.0081,0.2175,0.02005,0.00835,0.02035,0.0054,16.77055,0.53435,0.0622,0.025099999999999997,0.00415,3.79665,0.1045,0.0291,0.02675,0.0033,20.67605,0.06885,0.0124,0.0215,0.0037999999999999996,0.15815,0.01455,0.004399999999999999,0.0333,0.0009,0.6545500000000001,0.07065,0.01225,0.01665,0.0035,0.25345,0.02375,0.00655,0.0132,0.00445,0.2288,0.0262,0.0078000000000000005,0.01295,0.0022500000000000003,0.5775999999999999,0.04405,0.03015,0.02705,0.00575,304.2439,0.7992,0.24545,0.0852,0.0056,3.6378,0.06085,0.00995,0.029,0.002,104.02244999999999,0.57855,0.1411,0.06420000000000001,0.00425,0.0176,0.00465,0.0042,0.00955,0.0028,0.041999999999999996,0.006500000000000001,0.0049499999999999995,0.01345,0.00345,120005
3.37355,0.2801,4.09225,1.8353000000000002,3.3310500000000003,0.36719999999999997,4.12675,1.61585,234679483.3375,27996591.3182,281902866.3559,192654899.6886,8.8682,338466816.40415,288625447.63525,1408458540.72045,89157497.8939,44.60595,13398377317.137651,284847988.6648,14314186203.6653,13177839983.906,44.5831,12.3775,64.7625,1.17005,67.0,63.5,7.45445,0.86975,0.1041,0.049350000000000005,0.01065,6.0123,0.76635,0.07385,0.0293,0.00695,1.3375000000000001,0.7999,0.1849,0.03655,0.01405,0.02095,0.0046,0.00325,0.00745,0.00225,0.6283000000000001,0.0748,0.01585,0.02015,0.0030499999999999998,3.0747,0.3366,0.1125,0.08125,0.0056,1.2054500000000001,0.13595000000000002,0.02575,0.0426,0.0028,21.64425,3.4867,1.28655,0.8852,0.05725,12.974950000000002,1.11645,0.11460000000000001,0.064,0.006749999999999999,6.06315,0.20904999999999999,0.0376,0.0258,0.0029,24.632299999999997,1.312,0.17425000000000002,0.07970000000000001,0.00715,23.0263,1.3866,0.16635,0.08979999999999999,0.0069,116.35605,2.29225,0.37124999999999997,0.23635,0.0032500000000000003,4.91605,0.24465,0.0567,0.0555,0.00515,0.08775,0.02855,0.007549999999999999,0.01065,0.0021,10.7348,1.25895,0.0983,0.039,0.00435,120006
3.38985,0.41715,4.0440000000000005,1.4887000000000001,3.1911,0.4403,3.9062,1.2067,302916666.66665,74168452.026,412500000.0,245000000.0,4.5,423725371.12014997,640171566.38065,4342000000.0,102500000.0,48.0,106394001.83150001,233535597.05385,1383500000.0,22500000.0,47.5,17.6735,63.2449,0.8061499999999999,65.0,62.0,0.3931,0.038650000000000004,0.00565,0.00315,0.00053698,0.3355,0.044050000000000006,0.00605,0.00335,0.0005806100000000001,0.7291,0.016300000000000002,0.0062499999999999995,0.00965,0.00048290999999999997,1.22395,0.022000000000000002,0.00635,0.00775,0.0007,0.8418,0.0554,0.007149999999999999,0.011550000000000001,0.00032917499999999996,0.12645,0.0041,0.0014999999999999998,0.0054,0.00027668,1.7034500000000001,0.0783,0.015950000000000002,0.41014999999999996,0.00052648,0.5690999999999999,0.00775,0.00195,0.0075,0.00027609,0.30175,0.01645,0.0027500000000000003,0.0031,0.00047677,7.3915,0.2641,0.07744999999999999,0.0397,0.00098001,4.2768,0.40085,0.05335,0.047599999999999996,0.00318453,10.36715,0.6386999999999999,0.2495,0.14165,0.011078365000000001,6.7012,0.24864999999999998,0.03175,0.0288,0.003575205,8.392000000000001,0.19335,0.02135,0.0242,0.006674729999999999,0.75725,0.02855,0.00805,0.028749999999999998,0.0007,1.7206,0.1744,0.16385,0.07445,0.00585,120007
2.9023,0.1954,3.7923,1.6022,2.3833,0.3502,3.1235,1.3394,190000000.0,18708286.9339,215000000.0,170000000.0,1.5,109166666.6667,34328883.2067,220000000.0,75000000.0,12.0,825880000.0,770386724.7039,2497000000.0,15000000.0,12.5,16.1905,66.89035000000001,2.81,74.0,62.5,0.1275,0.02805,0.00655,0.004750000000000001,0.0006000000000000001,0.06175,0.0086,0.0024,0.0024,0.0002,0.0938,0.010249999999999999,0.0061,0.03475,0.0007,0.11415,0.0149,0.01715,0.012549999999999999,0.00075,0.045649999999999996,0.0061,0.0035,0.00405,0.0005,0.0,0.0,0.0,0.0,0.0,0.2782,0.01125,0.00435,0.027649999999999997,0.0028,0.03915,0.0064,0.00265,0.0038,0.0007,0.0791,0.01155,0.0038,0.0084,0.00435,0.1648,0.017,0.0072,0.0113,0.001,0.1252,0.0132,0.007350000000000001,0.04555,0.0008500000000000001,0.0835,0.0161,0.009649999999999999,0.0103,0.0007,0.019549999999999998,0.00255,0.00185,0.00845,0.0024,7.248600000000001,0.18685000000000002,0.0205,0.35895000000000005,0.0005,0.0,0.0,0.0,0.0,0.0,0.20845000000000002,0.01565,0.010450000000000001,0.07185,0.00055,120008
3.0821,0.19455,3.63935,2.0907,2.99595,0.2142,3.65365,1.74815,252358966.8696,31580071.8897,308805733.8091,210309798.9331,3.8682,395114964.0549,416805271.6077,2201958536.42975,91657497.95265001,44.60595,13372202230.6634,236379089.50800002,14068686388.9661,13177840159.82085,44.0831,9.3255,59.96975,0.92485,61.0,58.0,0.39355,0.26035,0.36095,0.43485,0.1045,0.41569999999999996,0.25949999999999995,0.35295,0.4411,0.10275,0.38695,0.25645,0.36539999999999995,0.4366,0.1006,0.47445,0.1051,0.1267,0.13115,0.02775,0.3614,0.25215,0.357,0.4344,0.10255,0.4242,0.25635,0.3616,0.4423,0.09915,0.67615,0.22345,0.2624,0.26095,0.04185,0.2772,0.07475,0.09085,0.1089,0.02315,4.04055,0.03375,0.00455,0.00545,0.00155,5.5963,0.107,0.0157,0.01765,0.0012,0.0136,0.0031,0.00175,0.00535,0.0018,0.04985,0.0052,0.00335,0.0168,0.00285,0.7884,0.00715,0.00165,0.02055,0.00095,1.3306,0.01525,0.00635,0.02465,0.003,0.0332,0.0022,0.00105,0.0054,0.00065,0.07125,0.00425,0.00235,0.00905,0.0007,120009
3.2042,0.19740000000000002,3.7004,1.78085,3.1814999999999998,0.2277,3.6554,1.6642000000000001,290714285.71430004,42342207.9917,372500000.0,240000000.0,5.5,342557142.85714996,258283403.76435,1351000000.0,82500000.0,38.5,60078909.61264999,52566841.995299995,240000000.0,15000000.0,37.5,11.261,67.3593,1.2873999999999999,69.5,65.0,1.5618,0.22565,0.0377,0.01455,0.0033,1.3323,0.24385,0.043000000000000003,0.0139,0.0034,0.0471,0.00765,0.00375,0.00825,0.00225,0.08145,0.01075,0.004,0.00885,0.0021,0.0542,0.005,0.0009,0.0025,0.00125,0.19635,0.01255,0.0024,0.0059,0.00115,0.26095,0.01565,0.00735,0.0279,0.0019,0.0456,0.006,0.0038,0.0119,0.0011,0.2104,0.0281,0.007050000000000001,0.013250000000000001,0.0031999999999999997,0.47769999999999996,0.08124999999999999,0.017599999999999998,0.012900000000000002,0.0032500000000000003,0.20104999999999998,0.0366,0.01025,0.01185,0.0029,0.36145,0.0565,0.0121,0.0169,0.0028,0.77135,0.02635,0.00845,0.044950000000000004,0.00315,0.94665,0.0542,0.020200000000000003,0.0456,0.00505,0.10215,0.012799999999999999,0.00435,0.0101,0.00315,768.73385,20.9355,3.27935,1.16845,0.0522,120010
