sample_id,video_path,status,keyframes_extracted
120001,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7281385962049998086.mp4,ok,1
120002,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7164058026352168197.mp4,ok,6
120003,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7248606026386263323.mp4,ok,2
120004,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7305803156074597665.mp4,ok,1
120006,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7282020464858287393.mp4,ok,5
120007,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7266886453198605574.mp4,ok,2
120009,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/6921873329053879557.mp4,ok,1
120010,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7135653345922010374.mp4,ok,2
120011,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7184128732490255622.mp4,ok,2
120013,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7287988903317867781.mp4,ok,6
120014,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7307715406486162721.mp4,ok,1
120015,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7301059176824835333.mp4,ok,5
120016,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7250148149912702234.mp4,ok,1
120019,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7287756493343001861.mp4,ok,1
120020,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/6810080138743663878.mp4,ok,1
120022,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7292628068584393989.mp4,ok,6
120024,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7255403870950624539.mp4,ok,1
120025,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7117231915006053638.mp4,ok,1
120026,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7320013424329608481.mp4,ok,2
120028,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7315185461985725702.mp4,ok,4
120030,/home/alumno.upv.es/scheng1/EXIST 2026 Videos Dataset/training/videos/7281703233431555333.mp4,ok,4
